Company,Paddle,Core Thickness (mm),Retail Price,Discount,Discounted Price,Model State,Stock State,Stock Count,Certification Status,Warranty,Shape,Build,Manufacturing Process,Surface Texture,Surface Layup,Core Type,Spin RPI,Spin Category,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Twist Weight,Balance Point (cm),Firepower (0-100)
Vatic Pro,Bloom Prism,16.0,$105.57,4%,$101.35,Live,In Stock,78,USAP certified,6 months,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,175",Good,16.0,8.0,5.5,8.0,112.7,7.25,23.8,33
Diadem,Edge BluCore Hybrid,16.0,$251.48,10%,$226.33,Obsolete,Extinct,0,USAP certified,Lifetime,Hybrid,Gen-4,Thermoformed,Peel Ply-Coarse,18K Toray Carbon Fiber,Full-Foam (EPP with EVA border),2092,Fair,16.22,7.76,5.71,8.0,112.7,6.71,23.7,78
11SIX24,Vapor Jelly Bean,16.0,$104.54,41%,$61.68,Live,In Stock,25,USAP certified,1 year,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber & Fiberglass,Polypropylene Honeycomb,2198,Good,16.14,7.76,5.71,8.0,115.0,6.8,24.2,58
Holbrook,Pro - Aero Metallic T,16.0,$202.51,13%,$176.18,Live,In Stock,131,USAP certified,1 year,Elongated,Gen-2,Thermoformed-edgeless,Peel Ply-Coarse,Carbon Fiber & PET Electroplated Fiber,Polypropylene Honeycomb,"1,941",Fair,16.46,7.52,5.5,8.1,120.7,5.86,24.2,52
Gentle Booms Sports,GBS-001,11.0,$52.59,33%,$35.24,Live,In Stock,38,USAP certified,1 year,Widebody,Gen-1,Cold Pressed,Grit,Aluminum,Aluminum Honeycomb,"1,493",Poor,15.7,7.8,5.0,8.5,115.0,6.65,23.1,0
Gearbox,G2 Integra,14.0,$143.57,23%,$110.55,Live,In Stock,29,USAP certified,1 year,Hybrid,Gen-2,Thermoformed-edgeless,Grit,Carbon Fiber; Fiberglass,Polypropylene Honeycomb,"2,113",Good,16.0,7.38,5.5,7.9,113.3,5.64,24.5,16
Engage,Evolution Extreme V2.14,14.0,$158.36,46%,$85.51,Live,In Stock,73,USAP certified,Lifetime,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,1915,Fair,16.5,7.5,5.25,8.0,117.7,6.38,24.4,28
CRBN,TruFoam Waves 1,14.0,$307.23,16%,$258.07,Attrition,In Stock,39,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Foam,2232,Good,16.69,7.36,5.91,7.9,118.5,5.74,24.5,76
Versix,Vector,15.0,$120.92,3%,$117.29,Live,In Stock,54,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,103",Good,16.5,7.5,6.0,8.4,122.2,6.93,24.3,67
Selkirk,LABS 008 Tour,13.0,$305.07,30%,$213.55,Live,In Stock,14,Dual certified - USAP and UPA-A,2 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Full foam,"2,050",Fair,16.45,7.5,6.0,8.0,121.6,5.38,23.8,54
Core,Reaction Pro Elongated,16.0,$120.25,23%,$92.59,Live,In Stock,56,USAP certified,3 months,Elongated,Gen-1,Cold Pressed,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,1863,Poor,16.5,7.38,5.8,8.2,125.4,6.03,24.8,30
Six Zero,Quartz,15.0,$87.63,14%,$75.36,Obsolete,Extinct,0,USAP certified,1 year,Widebody,Gen-1,Cold Pressed,Peel Ply-Coarse,Carbon Fiber,Polypropylene Honeycomb,"1,925",Fair,16.0,7.9,5.0,7.9,107.8,6.43,23.6,20
Pickleball Apes,Harmony X,16.0,$204.59,25%,$153.44,Attrition,In Stock,58,USAP certified,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Honeycomb polypropylene + foam,"2,134",Good,16.65,7.44,5.5,8.1,123.5,,,58
Adidas,AdiPower Pro-ATTK,14.0,$206.17,37%,$129.89,Live,In Stock,79,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,,Poor,16.46,7.48,5.55,8.0,123.3,6.62,24.5,0
Ace,Spade,16.0,$202.86,9%,$184.60,Live,In Stock,42,USAP certified,90 day,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,2178,Good,16.54,7.44,5.51,8.0,119.4,6.28,24.6,58
CRBN,CRBN 2X,16.0,$213.93,3%,$207.51,Live,In Stock,60,USAP certified,1 year,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,1975,Fair,15.75,8.0,4.75,8.0,110.0,7.5,23.5,48
Gamma,Obsidian 16,16.0,$175.43,4%,$168.41,Live,In Stock,77,USAP certified,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,877",Poor,16.38,7.63,5.75,8.1,119.6,6.46,24.5,42
