Company,Paddle,Core Thickness (mm),Retail Price,Discount,Discounted Price,Model State,Stock State,Stock Count,Certification Status,Warranty,Shape,Build,Manufacturing Process,Surface Texture,Surface Layup,Core Type,Spin RPI,Spin Category,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Twist Weight,Balance Point (cm),Firepower (0-100)
Vatic Pro,Bloom Prism,16.0,$95.87,9%,$87.24,Attrition,In Stock,87,USAP certified,6 months,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,175",Good,16.0,8.0,5.5,8.0,112.7,7.25,23.8,33
Diadem,Edge BluCore Hybrid,16.0,$234.30,9%,$213.21,Obsolete,Extinct,0,USAP certified,Lifetime,Hybrid,Gen-4,Thermoformed,Peel Ply-Coarse,18K Toray Carbon Fiber,Full-Foam (EPP with EVA border),2092,Fair,16.22,7.76,5.71,8.0,112.7,6.71,23.7,78
11SIX24,Vapor Jelly Bean,16.0,$90.80,14%,$78.09,Live,In Stock,48,USAP certified,1 year,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber & Fiberglass,Polypropylene Honeycomb,2198,Good,16.14,7.76,5.71,8.0,115.0,6.8,24.2,58
Holbrook,Pro - Aero Metallic T,16.0,$223.69,13%,$194.61,Live,In Stock,141,USAP certified,1 year,Elongated,Gen-2,Thermoformed-edgeless,Peel Ply-Coarse,Carbon Fiber & PET Electroplated Fiber,Polypropylene Honeycomb,"1,941",Fair,16.46,7.52,5.5,8.1,120.7,5.86,24.2,52
Gentle Booms Sports,GBS-001,11.0,$54.36,2%,$53.27,Live,In Stock,61,USAP certified,1 year,Widebody,Gen-1,Cold Pressed,Grit,Aluminum,Aluminum Honeycomb,"1,493",Poor,15.7,7.8,5.0,8.5,115.0,6.65,23.1,0
Gearbox,G2 Integra,14.0,$127.41,47%,$67.53,Live,In Stock,59,USAP certified,1 year,Hybrid,Gen-2,Thermoformed-edgeless,Grit,Carbon Fiber; Fiberglass,Polypropylene Honeycomb,"2,113",Good,16.0,7.38,5.5,7.9,113.3,5.64,24.5,16
Engage,Evolution Extreme V2.14,14.0,$153.63,39%,$93.71,Live,In Stock,111,USAP certified,Lifetime,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,1915,Fair,16.5,7.5,5.25,8.0,117.7,6.38,24.4,28
CRBN,TruFoam Waves 1,14.0,$256.07,35%,$166.45,Obsolete,Extinct,34,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Foam,2232,Good,16.69,7.36,5.91,7.9,118.5,5.74,24.5,76
Versix,Vector,15.0,$130.53,39%,$79.62,Live,In Stock,83,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,103",Good,16.5,7.5,6.0,8.4,122.2,6.93,24.3,67
Selkirk,LABS 008 Tour,13.0,$290.13,5%,$275.62,Live,In Stock,39,Dual certified - USAP and UPA-A,2 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Full foam,"2,050",Fair,16.45,7.5,6.0,8.0,121.6,5.38,23.8,54
Core,Reaction Pro Elongated,16.0,$129.07,17%,$107.13,Attrition,In Stock,57,USAP certified,3 months,Elongated,Gen-1,Cold Pressed,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,1863,Poor,16.5,7.38,5.8,8.2,125.4,6.03,24.8,30
Six Zero,Quartz,15.0,$84.92,38%,$52.65,Obsolete,Extinct,0,USAP certified,1 year,Widebody,Gen-1,Cold Pressed,Peel Ply-Coarse,Carbon Fiber,Polypropylene Honeycomb,"1,925",Fair,16.0,7.9,5.0,7.9,107.8,6.43,23.6,20
Pickleball Apes,Harmony X,16.0,$212.94,49%,$108.60,Attrition,In Stock,86,USAP certified,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Honeycomb polypropylene + foam,"2,134",Good,16.65,7.44,5.5,8.1,123.5,,,58
Adidas,AdiPower Pro-ATTK,14.0,$183.18,12%,$161.20,Attrition,In Stock,92,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,,Poor,16.46,7.48,5.55,8.0,123.3,6.62,24.5,0
Ace,Spade,16.0,$189.74,2%,$185.95,Live,In Stock,40,USAP certified,90 day,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,2178,Good,16.54,7.44,5.51,8.0,119.4,6.28,24.6,58
CRBN,CRBN 2X,16.0,$249.12,47%,$132.03,Live,In Stock,75,USAP certified,1 year,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,1975,Fair,15.75,8.0,4.75,8.0,110.0,7.5,23.5,48
Gamma,Obsidian 16,16.0,$167.16,1%,$165.49,Live,In Stock,120,USAP certified,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,877",Poor,16.38,7.63,5.75,8.1,119.6,6.46,24.5,42
Gearbox,GX2 Power Elongated,16.0,$272.99,40%,$163.79,Live,In Stock,61,USAP certified,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Carbon fiber + foam,"2,208",Good,16.65,7.17,5.5,8.0,117.5,6.23,24.7,82
Ronbus,Pulsar R3,16.0,$172.67,33%,$115.69,Live,In Stock,70,USAP certified,6 months,Elongated,Gen-2,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"1,970",Fair,16.5,7.5,5.5,8.3,125.0,6.47,23.8,43
Spartus,Odyssey Apex,16.0,$103.51,8%,$95.23,Live,In Stock,84,USAP certified,6 months,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Carbon Fiber,Wide cell polypropylene,"2,130",Good,16.38,7.8,5.35,7.9,111.9,6.43,23.8,57
11SIX24,Vapor Power,16.0,$171.12,31%,$118.07,Live,In Stock,31,USAP certified,6 months,Hybrid,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber and Fiberglass,Honeycomb polypropylene + foam,2174,Good,16.14,7.76,5.71,8.2,115.8,7.01,23.9,71
Selkirk,SLK ERA Widebody,16.0,$210.94,43%,$120.24,Live,In Stock,49,USAP certified,6 months,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Polypropylene + foam,"2,203",Good,15.98,7.98,5.75,8.1,112.2,7.05,23.7,69
Franklin,Tour Tempo,16.0,$141.16,41%,$83.28,Live,In Stock,44,Dual certified - USAP and UPA-A,1 year,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,2094,Fair,15.9,8.0,5.0,8.9,122.0,7.5,23.5,53
Vatic Pro,Saga Flash,16.0,$154.39,47%,$81.83,Obsolete,Extinct,41,USAP certified,6 months,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,157",Good,16.3,7.7,5.3,8.3,116.8,6.67,24.0,54
Volair,Mach 1 Forza,14.0,$162.85,36%,$104.22,Live,In Stock,99,USAP certified,6 months,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,332",Elite,16.5,7.5,5.5,7.8,111.0,6.16,23.9,27
Pickleball Apes,Harmony S,16.0,$182.16,40%,$109.30,Live,In Stock,63,USAP certified,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Honeycomb polypropylene + foam,"2,174",Good,16.38,7.56,5.5,8.0,114.6,6.43,24.0,52
Gearbox,CX14H Ultimate Power,14.0,$266.07,46%,$143.68,Live,In Stock,93,USAP certified,1 year,Widebody,Gen-2,Thermoformed-edgeless,Grit,3K Woven Carbon Fiber,Toray T700 Carbon Fiber,"1,962",Fair,15.6,8.0,5.38,8.5,107.0,5.78,22.0,7
ProDrive,Ghost,16.0,$193.92,22%,$151.26,Live,In Stock,108,USAP certified,6 months,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Kevlar,"1,817",Poor,16.4,7.6,5.3,8.0,117.0,6.73,23.9,50
Six Zero,Infinity Double Black Diamond,16.0,$203.21,0%,$203.21,Attrition,In Stock,113,USAP certified,1 year,Hybrid,Gen-2,Thermoformed-edgeless,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,077",Fair,16.3,7.7,5.5,8.1,110.0,5.8,23.2,30
Honolulu Pickleball Co.,J2K,16.0,$162.93,29%,$115.68,Live,In Stock,79,USAP certified,1 year,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Dupont Kevlar,Polypropylene Honeycomb,"2,101",Good,16.2,7.8,5.3,8.2,115.4,7.0,23.7,58
11SIX24,Hurache-X Power,16.0,$165.15,25%,$123.86,Obsolete,Extinct,45,USAP certified,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber and Fiberglass,Honeycomb polypropylene + foam,2157,Good,16.46,7.56,5.91,8.1,115.2,6.21,23.7,71
Engage,Pursuit Pro 1-Light,13.0,$249.66,4%,$239.67,Live,In Stock,43,USAP certified,Lifetime,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,2178,Good,16.5,7.5,5.88,7.7,109.5,5.57,23.3,57
Volair,Mach 1,16.0,$136.67,41%,$80.64,Live,In Stock,40,USAP certified,6 months,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,002",Fair,16.5,7.5,5.5,7.7,110.0,5.72,24.0,16
JOOLA,Scorpeus 3S,16.0,$238.70,27%,$174.25,Obsolete,Extinct,100,Dual certified - USAP and UPA-A,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,"2,213",Good,16.0,8.0,5.25,8.0,111.6,7.0,23.9,73
Vatic Pro,Saga Flash 16,16.0,$136.41,40%,$81.85,Obsolete,Extinct,0,USAP certified,6 months,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Wide cell polypropylene,"2,146",Good,16.18,7.68,5.3,8.4,117.4,6.74,24.3,72
Engage,Pursuit MX Pro,13.0,$283.92,7%,$264.05,Obsolete,Extinct,39,USAP certified,Lifetime,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,2264,Good,16.5,7.5,5.75,8.0,119.3,5.85,24.1,66
Gamma,Obsidian 13,13.0,$171.74,32%,$116.78,Live,In Stock,117,USAP certified,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,854",Poor,16.38,7.63,5.75,7.9,112.2,6.0,23.8,43
JOOLA,Perseus Pro IV,16.0,$282.95,28%,$203.72,Live,In Stock,100,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,"2,112",Good,16.46,7.36,5.5,8.1,117.3,6.31,24.4,82
Volair,Mach 2,16.0,$142.03,20%,$113.62,Attrition,In Stock,67,USAP certified,6 months,Widebody,Gen-1,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,329",Elite,15.88,8.12,5.5,8.0,107.2,6.9,23.4,39
Volair,Alto,14.0,$96.08,37%,$60.53,Live,Low Stock,7,USAP certified,6 months,Elongated,Gen-1,Cold Pressed,Grit,Fiberglass,Polypropylene Honeycomb,"1,798",Poor,16.5,7.5,5.5,7.7,110.3,5.75,24.0,28
Neonic,Flow,16.0,$113.07,45%,$62.19,Live,In Stock,131,USAP certified,6 months,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,310",Elite,16.25,7.63,5.5,8.1,116.3,6.53,23.9,40
CRBN,TruFoam Genesis 2,14.0,$261.00,11%,$232.29,Live,In Stock,84,Dual certified - USAP and UPA-A,1 year,Widebody,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Foam,2338,Elite,16.0,7.85,5.3,8.2,112.9,6.76,23.8,70
Luzz,Pro-4 Inferno,16.0,$211.35,34%,$139.49,Attrition,In Stock,45,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-4,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Full-Foam (MPP with EVA border),"2,256",Good,16.54,7.48,5.75,7.8,117.4,6.07,24.4,85
JOOLA,Scorpeus Pro IV,16.0,$299.62,47%,$158.80,Attrition,In Stock,35,Dual certified - USAP and UPA-A,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,"2,198",Good,15.94,7.99,5.31,8.3,112.5,7.25,23.7,75
Spartus,Olympus,14.0,$205.78,4%,$197.55,Live,In Stock,70,USAP certified,6 months,Hybrid,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Foam-filled polypropylene honeycomb,"2,058",Fair,16.35,7.65,5.5,8.0,110.5,6.13,23.5,73
