Company,Paddle,Core Thickness (mm),Retail Price,Discount,Discounted Price,Model State,Stock State,Stock Count,Certification Status,Warranty,Shape,Build,Manufacturing Process,Surface Texture,Surface Layup,Core Type,Spin RPI,Spin Category,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Twist Weight,Balance Point (cm),Firepower (0-100)
Vatic Pro,Bloom Prism,16.0,$107.27,21%,$84.74,Live,In Stock,80,USAP certified,6 months,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,175",Good,16.0,8.0,5.5,8.0,112.7,7.25,23.8,33
Diadem,Edge BluCore Hybrid,16.0,$265.62,47%,$140.78,Obsolete,Extinct,0,USAP certified,Lifetime,Hybrid,Gen-4,Thermoformed,Peel Ply-Coarse,18K Toray Carbon Fiber,Full-Foam (EPP with EVA border),2092,Fair,16.22,7.76,5.71,8.0,112.7,6.71,23.7,78
11SIX24,Vapor Jelly Bean,16.0,$105.25,25%,$78.94,Live,In Stock,21,USAP certified,1 year,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber & Fiberglass,Polypropylene Honeycomb,2198,Good,16.14,7.76,5.71,8.0,115.0,6.8,24.2,58
Holbrook,Pro - Aero Metallic T,16.0,$236.67,25%,$177.50,Live,In Stock,136,USAP certified,1 year,Elongated,Gen-2,Thermoformed-edgeless,Peel Ply-Coarse,Carbon Fiber & PET Electroplated Fiber,Polypropylene Honeycomb,"1,941",Fair,16.46,7.52,5.5,8.1,120.7,5.86,24.2,52
Gentle Booms Sports,GBS-001,11.0,$50.04,48%,$26.02,Live,In Stock,40,USAP certified,1 year,Widebody,Gen-1,Cold Pressed,Grit,Aluminum,Aluminum Honeycomb,"1,493",Poor,15.7,7.8,5.0,8.5,115.0,6.65,23.1,0
Gearbox,G2 Integra,14.0,$127.35,14%,$109.52,Live,In Stock,30,USAP certified,1 year,Hybrid,Gen-2,Thermoformed-edgeless,Grit,Carbon Fiber; Fiberglass,Polypropylene Honeycomb,"2,113",Good,16.0,7.38,5.5,7.9,113.3,5.64,24.5,16
Engage,Evolution Extreme V2.14,14.0,$165.51,14%,$142.34,Live,In Stock,83,USAP certified,Lifetime,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,1915,Fair,16.5,7.5,5.25,8.0,117.7,6.38,24.4,28
CRBN,TruFoam Waves 1,14.0,$276.12,44%,$154.63,Obsolete,Extinct,39,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Foam,2232,Good,16.69,7.36,5.91,7.9,118.5,5.74,24.5,76
Versix,Vector,15.0,$127.47,2%,$124.92,Live,In Stock,68,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,103",Good,16.5,7.5,6.0,8.4,122.2,6.93,24.3,67
Selkirk,LABS 008 Tour,13.0,$270.41,28%,$194.70,Live,In Stock,21,Dual certified - USAP and UPA-A,2 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Full foam,"2,050",Fair,16.45,7.5,6.0,8.0,121.6,5.38,23.8,54
