Company,Paddle,Core Thickness (mm),Retail Price,Discount,Discounted Price,Model State,Stock State,Stock Count,Certification Status,Warranty,Shape,Build,Manufacturing Process,Surface Texture,Surface Layup,Core Type,Spin RPI,Spin Category,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Twist Weight,Balance Point (cm),Firepower (0-100)
Vatic Pro,Bloom Prism,16.0,$103.09,29%,$73.19,Attrition,In Stock,91,USAP certified,6 months,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"2,175",Good,16.0,8.0,5.5,8.0,112.7,7.25,23.8,33
Diadem,Edge BluCore Hybrid,16.0,$226.83,14%,$195.07,Obsolete,Extinct,0,USAP certified,Lifetime,Hybrid,Gen-4,Thermoformed,Peel Ply-Coarse,18K Toray Carbon Fiber,Full-Foam (EPP with EVA border),2092,Fair,16.22,7.76,5.71,8.0,112.7,6.71,23.7,78
11SIX24,Vapor Jelly Bean,16.0,$103.61,20%,$82.89,Live,In Stock,46,USAP certified,1 year,Hybrid,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber & Fiberglass,Polypropylene Honeycomb,2198,Good,16.14,7.76,5.71,8.0,115.0,6.8,24.2,58
Holbrook,Pro - Aero Metallic T,16.0,$228.37,2%,$223.80,Live,In Stock,146,USAP certified,1 year,Elongated,Gen-2,Thermoformed-edgeless,Peel Ply-Coarse,Carbon Fiber & PET Electroplated Fiber,Polypropylene Honeycomb,"1,941",Fair,16.46,7.52,5.5,8.1,120.7,5.86,24.2,52
Gentle Booms Sports,GBS-001,11.0,$53.96,1%,$53.42,Live,In Stock,49,USAP certified,1 year,Widebody,Gen-1,Cold Pressed,Grit,Aluminum,Aluminum Honeycomb,"1,493",Poor,15.7,7.8,5.0,8.5,115.0,6.65,23.1,0
Gearbox,G2 Integra,14.0,$134.70,42%,$78.13,Live,In Stock,50,USAP certified,1 year,Hybrid,Gen-2,Thermoformed-edgeless,Grit,Carbon Fiber; Fiberglass,Polypropylene Honeycomb,"2,113",Good,16.0,7.38,5.5,7.9,113.3,5.64,24.5,16
Engage,Evolution Extreme V2.14,14.0,$147.13,43%,$83.86,Live,In Stock,100,USAP certified,Lifetime,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,1915,Fair,16.5,7.5,5.25,8.0,117.7,6.38,24.4,28
CRBN,TruFoam Waves 1,14.0,$268.82,37%,$169.36,Obsolete,Extinct,36,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Foam,2232,Good,16.69,7.36,5.91,7.9,118.5,5.74,24.5,76
Versix,Vector,15.0,$124.00,21%,$97.96,Live,In Stock,88,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,103",Good,16.5,7.5,6.0,8.4,122.2,6.93,24.3,67
Selkirk,LABS 008 Tour,13.0,$284.64,46%,$153.71,Live,In Stock,32,Dual certified - USAP and UPA-A,2 year,Elongated,Gen-4,Cold Pressed,Peel Ply-Coarse,T700 Carbon Fiber,Full foam,"2,050",Fair,16.45,7.5,6.0,8.0,121.6,5.38,23.8,54
Core,Reaction Pro Elongated,16.0,$131.48,43%,$74.94,Attrition,In Stock,61,USAP certified,3 months,Elongated,Gen-1,Cold Pressed,Peel Ply-Fine,T700 Carbon Fiber,Polypropylene Honeycomb,1863,Poor,16.5,7.38,5.8,8.2,125.4,6.03,24.8,30
Six Zero,Quartz,15.0,$90.26,8%,$83.04,Obsolete,Extinct,0,USAP certified,1 year,Widebody,Gen-1,Cold Pressed,Peel Ply-Coarse,Carbon Fiber,Polypropylene Honeycomb,"1,925",Fair,16.0,7.9,5.0,7.9,107.8,6.43,23.6,20
Pickleball Apes,Harmony X,16.0,$196.13,39%,$119.64,Attrition,In Stock,79,USAP certified,1 year,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Honeycomb polypropylene + foam,"2,134",Good,16.65,7.44,5.5,8.1,123.5,,,58
Adidas,AdiPower Pro-ATTK,14.0,$171.19,10%,$154.07,Live,In Stock,81,Dual certified - USAP and UPA-A,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Honeycomb polypropylene + foam,,Poor,16.46,7.48,5.55,8.0,123.3,6.62,24.5,0
Ace,Spade,16.0,$189.97,23%,$146.28,Live,In Stock,31,USAP certified,90 day,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,2178,Good,16.54,7.44,5.51,8.0,119.4,6.28,24.6,58
CRBN,CRBN 2X,16.0,$216.15,18%,$177.24,Live,In Stock,73,USAP certified,1 year,Widebody,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,1975,Fair,15.75,8.0,4.75,8.0,110.0,7.5,23.5,48
Gamma,Obsidian 16,16.0,$164.32,6%,$154.46,Live,In Stock,113,USAP certified,1 year,Elongated,Gen-2,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,877",Poor,16.38,7.63,5.75,8.1,119.6,6.46,24.5,42
Gearbox,GX2 Power Elongated,16.0,$279.36,22%,$217.90,Live,In Stock,47,USAP certified,1 year,Elongated,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Carbon fiber + foam,"2,208",Good,16.65,7.17,5.5,8.0,117.5,6.23,24.7,82
Ronbus,Pulsar R3,16.0,$183.13,17%,$152.00,Live,In Stock,79,USAP certified,6 months,Elongated,Gen-2,Thermoformed,Peel Ply-Fine,Toray Carbon Fiber,Polypropylene Honeycomb,"1,970",Fair,16.5,7.5,5.5,8.3,125.0,6.47,23.8,43
Spartus,Odyssey Apex,16.0,$99.72,34%,$65.82,Live,In Stock,92,USAP certified,6 months,Elongated,Gen-1,Cold Pressed,Peel Ply-Coarse,Carbon Fiber,Wide cell polypropylene,"2,130",Good,16.38,7.8,5.35,7.9,111.9,6.43,23.8,57
11SIX24,Vapor Power,16.0,$154.68,43%,$88.17,Live,In Stock,24,USAP certified,6 months,Hybrid,Gen-3,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber and Fiberglass,Honeycomb polypropylene + foam,2174,Good,16.14,7.76,5.71,8.2,115.8,7.01,23.9,71
Selkirk,SLK ERA Widebody,16.0,$214.28,32%,$145.71,Live,In Stock,39,USAP certified,6 months,Widebody,Gen-3,Thermoformed,Peel Ply-Coarse,Carbon Fiber,Polypropylene + foam,"2,203",Good,15.98,7.98,5.75,8.1,112.2,7.05,23.7,69
